,text,term,polarity
656,The portions are large and the servers always surprise us with a different starter.,servers,1
657,The portions are large and the servers always surprise us with a different starter.,starter,1
658,"delicious bagels, especially when right out of the oven.",bagels,1
659,All the food was hot tasty.,food,1
660,This is one great place to eat pizza more out but not a good place for take-out pizza.,pizza,1
661,This is one great place to eat pizza more out but not a good place for take-out pizza.,take-out pizza,-1
662,Our server was very helpful and friendly.,server,1
663,Try green curry with vegetables.,green curry with vegetables,1
664,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",place,-1
665,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,0
666,Much more reasonably priced too!,priced,1
667,"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",food,-1
668,"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",portioins,-1
669,Why make a reservation if you aren't going to keep it?,reservation,-1
670,"The Pad Thai is excellent here, as well.",Pad Thai,1
671,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,lunch specials,-1
672,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",place,1
673,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas.",pizzas,1
674,"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",food,0
675,We had the pot-stickers which were great and a tempura dish that was great.,pot-stickers,1
676,We had the pot-stickers which were great and a tempura dish that was great.,tempura dish,1
677,I think the stuff was better than Disney.,stuff,1
678,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,-1
679,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",atmosphere,1
680,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",entree range,1
681,"Orsay, is without a doubt one of the best values for authentic French food in NYC.",French food,1
682,"Well, their deliveries take for ever and the food is usually cold.",deliveries,-1
683,"Well, their deliveries take for ever and the food is usually cold.",food,-1
684,The staff is no nonsense.,staff,1
685,And really large portions.,portions,1
686,This is a great Thai restaurant with a very friendly staff.,staff,1
687,I ordered the smoked salmon and roe appetizer and it was off flavor.,smoked salmon and roe appetizer,-1
688,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",lunch,0
689,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",food,1
690,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,1
691,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",lamb,1
692,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",okra (bindi),1
693,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",waiter,0
694,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",menu,1
695,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,0
696,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",steak,0
697,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,0
698,"In fact, two people could really share one plate.",plate,1
699,The food is great and authentic.,food,1
700,Good for casual dinner with jeans and sneakers.,casual dinner,1
701,"Anyway, the food is good, the price is right and they have a decent wine list.",food,1
702,"Anyway, the food is good, the price is right and they have a decent wine list.",price,1
703,"Anyway, the food is good, the price is right and they have a decent wine list.",wine list,1
704,Prices are higher to dine in and their chicken tikka marsala is quite good.,Prices,-1
705,Prices are higher to dine in and their chicken tikka marsala is quite good.,chicken tikka marsala,1
706,This place has many different styles of pizza and they are all amazing.,styles of pizza,1
707,The photos of the restaurant in its web site are way better than the real look.,look,-1
708,The food was lousy - too sweet or too salty and the portions tiny.,food,-1
709,The food was lousy - too sweet or too salty and the portions tiny.,portions,-1
710,But the coconut rice was good.,coconut rice,1
711,It took them 25 minutes to bring our appetizer.,appetizer,0
712,The food was great.,food,1
713,Pair you food with the excellent beers on tap or their well priced wine list.,food,0
714,Pair you food with the excellent beers on tap or their well priced wine list.,beers on tap,1
715,Pair you food with the excellent beers on tap or their well priced wine list.,wine list,1
716,Pair you food with the excellent beers on tap or their well priced wine list.,priced,1
717,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,music,-1
718,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,bottle minimun,-1
719,All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,1
720,Metrazur has a beautiful spot overlooking the main terminal.,spot,1
721,Friendly staff that actually lets you enjoy your meal and the company you're with.,staff,1
722,Friendly staff that actually lets you enjoy your meal and the company you're with.,meal,1
723,The restaurant is rather small but we were lucky to get a table quickly.,table,1
724,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",Quality of food,1
725,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,1
726,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",pork,1
727,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",fish,1
728,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",chicken,1
729,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",lamb,1
730,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",vegetables,1
731,"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",seating,-1
732,"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",place,-1
733,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,appetizing,1
734,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,1
735,"But, they were too big for the bun.",bun,0
736,"The food is fresh, delicious, and reasonably priced.",food,1
737,"The food is fresh, delicious, and reasonably priced.",priced,1
738,Raga stands out with an interesting fusion of French and Indian cooking.,fusion of French and Indian cooking,1
739,"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,-1
740,"A few tips: skip the turnip cake, roast pork buns and egg custards.",roast pork buns,-1
741,"A few tips: skip the turnip cake, roast pork buns and egg custards.",egg custards,-1
742,The bagels are fabulous.,bagels,1
743,"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",seating in the garden,0
744,"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",seats,0
745,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,1
746,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,place,1
747,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,water,0
748,"The food was very good, a great deal, and the place its self was great.",food,1
749,"The food was very good, a great deal, and the place its self was great.",place,1
750,The food options rule.,food options,1
751,A great choice at any cost and a great deal.,cost,1
752,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",pre-theatre 3-course dinner,0
753,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",wine flight,0
754,"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",lunch,0
755,"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",dinner,0
756,"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,-1
757,It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,drink,0
758,The place itself is beautiful the bar scene seems to be happening.,place,1
759,The place itself is beautiful the bar scene seems to be happening.,bar scene,1
760,"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",staff,1
761,"Good spreads, great beverage selections and bagels really tasty.",spreads,1
762,"Good spreads, great beverage selections and bagels really tasty.",beverage selections,1
763,"Good spreads, great beverage selections and bagels really tasty.",bagels,1
764,"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",waiter,-1
765,"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",specials,1
766,"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",served,-1
767,"Also, top the meal with a delicious and perfect slice of tiramisu.",tiramisu,1
768,"Also, top the meal with a delicious and perfect slice of tiramisu.",meal,0
769,Check out the secret back room.,secret back room,1
770,"It's also attached to Angel's Share, which is a cool, more romantic bar...",bar,1
771,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",food,1
772,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,1
773,Stick to the gulab jamun.,gulab jamun,1
774,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",prices,1
775,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",atmosphere,1
776,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",service,1
777,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",wine list,1
778,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,diner,0
779,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,wait staff,-1
780,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,table,-1
781,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,1
782,With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,1
783,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",dinner,0
784,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,pig feet ginger simmered in black vinegar,1
785,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,desserts with frog jelly,1
786,The food is great and reasonably priced.,food,1
787,The food is great and reasonably priced.,priced,1
788,I would definitely recommend SEA if you like thai cuisine!,thai cuisine,1
789,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",crew,1
790,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",host,1
791,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",round tables,1
792,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",Taiwanese,1
794,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",french fries,1
795,"It is the type of place to run into old friends and have a late, raucus dinner.",dinner,1
796,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,1
797,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",dishes,1
798,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",specials,1
799,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,1
800,Prices are in line.,Prices,0
801,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",fresh tomato sauce,1
802,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",fresh mozz cheese,1
803,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",basil,1
804,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",dough,1
805,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",pizza,1
806,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",flour,1
807,The food is prepared quickly and efficiently.,food,1
808,"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",Indian food,1
809,"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",Paneer Roll,1
810,The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,1
811,The food looked very appetizing and delicious since it came on a variety of fancy plates.,plates,1
812,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,fresh mozzerella slices,1
813,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,Plain Cheese slice,1
814,"The food is terrible and overall, I would have to say avoid at all costs.",food,-1
815,"Unfortunately, the food was NOT something to get worked up about.",food,-1
816,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",food,1
817,I had Filet Mignon with garlic mash.,Filet Mignon with garlic mash,0
818,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",pre-theater menu,1
819,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",roasted tomato soup with chevre,1
820,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",steak frites,1
821,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",creme brulee,1
822,"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",waitstaff,1
823,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",bread,1
824,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",pizza,1
825,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",margarite pizza with cold prosciutto and baby arugula on top,0
826,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",salad,0
827,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",Peter's Favourite pizza with prosciutto and baby arugula,0
829,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",bruschettas,1
830,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",paninis,1
831,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,1
832,"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",waiters,1
833,"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",diners,0
834,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",chef,1
835,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",dishes,1
836,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",cuisine,0
837,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",Indian,1
838,The owner truly caters to all your needs.,owner,1
839,He takes real pride in his food and his business.,food,1
840,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",meal,1
841,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",pre-theater prix-fixe,1
842,"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",food,1
843,"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",wine,1
844,"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",dining,1
845,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",menu,1
846,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",fried chicken,0
847,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,0
848,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",noodle dishes,0
849,I cannot imagine better Indian food in all of the city.,Indian food,1
850,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,privacy,1
851,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,corner booth table,1
852,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,1
853,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,-1
854,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,open faced cheese sandwich,0
855,very good breads as well.,breads,1
856,"if this happens, just ask for real naan.",naan,0
857,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,squid,-1
858,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,1
859,"Pizza is terrific, as is homemade pasta.",Pizza,1
860,"Pizza is terrific, as is homemade pasta.",homemade pasta,1
861,This is a wonderful place on all stand points especially value ofr money.,value ofr money,1
862,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,soup,1
863,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,1
865,There are other people waiting!,waiting,-1
866,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",beginning appetizers,1
867,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",scallops,1
868,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",chocolate souffle with rasberry mint sorbet,1
869,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",taste,1
870,Consistently good Japanese Tapas.,Japanese Tapas,1
871,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,1
872,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",rice,1
873,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",seaweed,1
874,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,1
875,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",lamb sausages,1
876,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",sardines with biscuits,1
877,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",large whole shrimp,1
878,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",pistachio ice cream,1
879,The food is reliable and the price is moderate.,food,1
880,The food is reliable and the price is moderate.,price,0
881,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,1
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,1
883,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,-1
884,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,-1
885,The server was really cool and served us our food and drinks with a smile.,server,1
886,The server was really cool and served us our food and drinks with a smile.,food,0
887,The server was really cool and served us our food and drinks with a smile.,drinks,0
888,The server was really cool and served us our food and drinks with a smile.,served,1
889,We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,food,0
890,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,1
891,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,1
892,"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",Chef,-1
893,I had to share my table with a loud group of kids and the service was rude an unattentive.,service,-1
894,I had to share my table with a loud group of kids and the service was rude an unattentive.,table,-1
895,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,1
896,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,1
897,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,sauce on the pizza,1
898,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",outdoor seating,1
899,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",mesclun,1
900,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",salmon,1
901,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",ice cream,1
902,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",courses,1
903,We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,0
904,The food is usually good but it certainly isn't a relaxing place to go.,food,1
905,The food is usually good but it certainly isn't a relaxing place to go.,place,-1
906,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",staff,1
907,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",bistro fare,1
908,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",chilaquiles,1
909,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",jazz brunch,1
910,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,1
911,The prices were fantastic.,prices,1
913,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,1
915,"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.",service,0
916,"It's not mind-blowing, but to me, thai food never is and never will be.",thai food,0
917,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food,1
918,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",pork belly,-1
919,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",fat,-1
920,"i've been to sapphire twice and both times the food was fine, if not good.",food,1
921,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,tables,-1
922,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,1
923,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,place,1
924,I love the fact that the pizza tastes so good and is so cheap.,pizza,1
925,Nicky the Nose at the bar is a treat.,bar,0
926,"Service was prompt, friendly and great.",Service,1
927,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,1
928,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",salads,1
929,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lemon,1
930,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",extra virgnin olive oil,1
931,The sushi was awful!,sushi,-1
932,You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,meal,1
934,You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,dishes,1
935,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",Pastrami sandwich,1
936,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",beer,1
937,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",pickles,1
938,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,-1
939,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,truffle oil,0
940,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,1
941,"Late nite omelletes are not good here, there is no variety!",omelletes,-1
942,"After all that, they complained to me about the small tip.",tip,-1
943,It's a great place to pick up a cheap lunch or dinner.,lunch,1
944,It's a great place to pick up a cheap lunch or dinner.,dinner,1
945,"Behind this counter, two men are squeezed in.",counter,-1
946,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,1
947,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,1
948,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Sushi fix,1
949,"Our waitress was sweet and accomodating, not overbearing.",waitress,1
950,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,0
951,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,-1
952,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,-1
954,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,-1
955,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food art,1
956,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,1
957,"A large is $20, and toppings are about $3 each.",toppings,0
958,brick oven gallery is My pick for best pizza restaurant anywhere.,pizza,1
959,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,1
960,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,1
961,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,1
962,"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",Thai food,-1
963,"Growing up in NY, I have eaten my share of bagels.",bagels,0
964,"Oh, don't even let me start with how expensive the bills were!",bills,-1
965,The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,0
966,The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,0
967,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,1
968,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",salads,1
969,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,1
970,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,1
971,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",table,-1
972,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",served,-1
